workload,rate,seed,cycle,timestamp,tau,peak_kvpr,kvpr_gpu0,kvpr_gpu1,current_shape,plan_shape,current_placement,placement_plan,convergence_gap,misplaced,cooldown_active,migration_decision,migration_reason,n_wants_moved,n_blocked,blocked_reasons,cand_model,cand_from,cand_to,peak_kvpr_after,n_line8,n_best_differs,n_tau_suppressed,max_abs_delta,line8
steady,8,1,11,1787607938.3152473,0.00035,0.09106103632178228,0.050117801703505147,0.09106103632178228,2+2,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 0}",2,"model_6,model_4",True,,migration cooldown active,2,0,,,,,,4,3,1,0.050498466262639576,"[{""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_6"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.04140918301290219, ""best_r"": 0.0, ""absolute_delta"": 0.04140918301290219, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.03596224142962331, ""best_r"": 0.03596224142962331, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.09190764927554176, ""best_r"": 0.04140918301290219, ""absolute_delta"": 0.050498466262639576, ""tau"": 0.00035, ""chosen_gpu"": 1}]"
steady,8,1,12,1787607943.3283653,0.00035,0.09767783936803157,0.045004898091288534,0.09767783936803157,2+2,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 0}",2,"model_6,model_4",True,,migration cooldown active,2,0,,,,,,4,3,1,0.052783064664074716,"[{""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_6"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.052783064664074716, ""best_r"": 0.0, ""absolute_delta"": 0.052783064664074716, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.02914390230405355, ""best_r"": 0.02914390230405355, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.07499436237600683, ""best_r"": 0.052783064664074716, ""absolute_delta"": 0.022211297711932115, ""tau"": 0.00035, ""chosen_gpu"": 1}]"
steady,8,1,13,1787607948.3370922,0.00035,0.09064956803604901,0.044228663018988444,0.09064956803604901,2+2,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 0}",2,"model_6,model_4",False,MIGRATE,literal line-8 absolute delta exceeds tau,2,0,,model_6,1,0,0.09655227132508985,4,3,1,0.021625554089816926,"[{""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_6"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.05013172288872658, ""best_r"": 0.028506168798909656, ""absolute_delta"": 0.021625554089816926, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.07020716064282624, ""best_r"": 0.05013172288872658, ""absolute_delta"": 0.02007543775409966, ""tau"": 0.00035, ""chosen_gpu"": 1}]"
steady,8,1,14,1787607953.3474362,0.00035,0.09631948673422489,0.09631948673422489,0.05165472058653646,1+3,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 0}",1,model_4,True,,migration cooldown active,1,0,,,,,,4,2,1,0.02159627648343429,"[{""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_6"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.03456374598895074, ""best_r"": 0.03456374598895074, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.07325099706997075, ""best_r"": 0.05165472058653646, ""absolute_delta"": 0.02159627648343429, ""tau"": 0.00035, ""chosen_gpu"": 1}]"
steady,8,1,15,1787607958.3599837,0.00035,0.09732391975932801,0.09732391975932801,0.0389028043823089,1+3,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 0}",1,model_4,True,,migration cooldown active,1,0,,,,,,4,2,1,0.033801589294824276,"[{""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_6"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.031800954610886494, ""best_r"": 0.031800954610886494, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.07270439367713318, ""best_r"": 0.0389028043823089, ""absolute_delta"": 0.033801589294824276, ""tau"": 0.00035, ""chosen_gpu"": 1}]"
steady,8,1,16,1787607963.3746412,0.00035,0.1219699592429563,0.1219699592429563,0.030518990491270007,1+3,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 1, ""model_6"": 0}",1,model_5,True,,migration cooldown active,1,0,,,,,,4,1,0,0.03842281728544451,"[{""model"": ""model_6"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.03842281728544451, ""best_r"": 0.0, ""absolute_delta"": 0.03842281728544451, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 1, ""current_r"": 0.035614603947896804, ""best_r"": 0.035614603947896804, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.03842281728544451, ""best_r"": 0.03842281728544451, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}]"
steady,8,1,17,1787607968.385793,0.00035,0.12415600926001859,0.12415600926001859,0.03221266134449655,1+3,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 1, ""model_6"": 0}",1,model_5,True,,migration cooldown active,1,0,,,,,,4,1,0,0.03828608140261699,"[{""model"": ""model_6"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.03828608140261699, ""best_r"": 0.0, ""absolute_delta"": 0.03828608140261699, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 1, ""current_r"": 0.03718806509104575, ""best_r"": 0.03718806509104575, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.03828608140261699, ""best_r"": 0.03828608140261699, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}]"
steady,8,1,18,1787607973.4019547,0.00035,0.11878960843672945,0.11878960843672945,0.026332491794696638,1+3,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 1, ""model_6"": 0}",1,model_5,True,,migration cooldown active,1,0,,,,,,4,1,0,0.03649756258244679,"[{""model"": ""model_6"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.03649756258244679, ""best_r"": 0.0, ""absolute_delta"": 0.03649756258244679, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 1, ""current_r"": 0.0362086547000639, ""best_r"": 0.0362086547000639, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.03649756258244679, ""best_r"": 0.03649756258244679, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}]"
steady,8,1,19,1787607978.4184785,0.00035,0.11809517419853416,0.11809517419853416,0.03567624780932907,1+3,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 0}","{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",1,model_6,False,MIGRATE,literal line-8 absolute delta exceeds tau,1,0,,model_6,0,1,0.0798015942498743,4,1,0,0.006000444690331376,"[{""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 1, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_6"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.041676692499660446, ""best_r"": 0.03567624780932907, ""absolute_delta"": 0.006000444690331376, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.041676692499660446, ""best_r"": 0.041676692499660446, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}]"
steady,8,1,20,1787607985.4653628,0.00035,0.0753107364038605,0.04708168636901083,0.0753107364038605,2+2,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 0, ""model_4"": 1, ""model_5"": 0, ""model_6"": 1}",2,"model_3,model_4",True,,migration cooldown active,2,0,,,,,,4,3,1,0.03889588615128023,"[{""model"": ""model_6"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.03545416172545017, ""best_r"": 0.03408835075261155, ""absolute_delta"": 0.0013658109728386172, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.0743500478767304, ""best_r"": 0.03545416172545017, ""absolute_delta"": 0.03889588615128023, ""tau"": 0.00035, ""chosen_gpu"": 1}]"
steady,8,1,21,1787607990.485943,0.00035,0.07368409438244664,0.05378995964582249,0.07368409438244664,2+2,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}","{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 0}",2,"model_6,model_4",True,,migration cooldown active,2,0,,,,,,4,3,1,0.039375072834528194,"[{""model"": ""model_3"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 1}, {""model"": ""model_5"", ""current_gpu"": 0, ""best_gpu"": 0, ""current_r"": 0.0, ""best_r"": 0.0, ""absolute_delta"": 0.0, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_6"", ""current_gpu"": 1, ""best_gpu"": 0, ""current_r"": 0.03954349955988308, ""best_r"": 0.03878193092636223, ""absolute_delta"": 0.000761568633520851, ""tau"": 0.00035, ""chosen_gpu"": 0}, {""model"": ""model_4"", ""current_gpu"": 0, ""best_gpu"": 1, ""current_r"": 0.07891857239441127, ""best_r"": 0.03954349955988308, ""absolute_delta"": 0.039375072834528194, ""tau"": 0.00035, ""chosen_gpu"": 1}]"
