workload_type,rate,seed,prototype_path,final_path,prototype_sha256,final_sha256,MATCH,verification,prototype_requests,final_requests,models_match,slos_match,prototype_file_present,note
bursty,14,2,/workspace/prism-merge/exp/workloads/final-compare/bursty_r14_s2.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r14_s2.pkl,,,False,provenance-only,5811,5811,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,14,3,/workspace/prism-merge/exp/workloads/final-compare/bursty_r14_s3.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r14_s3.pkl,,,False,provenance-only,5908,5908,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,20,1,/workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s1.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r20_s1.pkl,,,False,provenance-only,8423,8423,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,20,2,/workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s2.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r20_s2.pkl,,,False,provenance-only,8244,8244,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
bursty,20,3,/workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s3.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r20_s3.pkl,,,False,provenance-only,8422,8422,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
steady,4,1,/workspace/prism-merge/exp/workloads/final-compare/steady_r4_s1.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/steady_r4_s1.pkl,,,False,provenance-only,1736,1736,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
steady,4,2,/workspace/prism-merge/exp/workloads/final-compare/steady_r4_s2.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/steady_r4_s2.pkl,,,False,provenance-only,1705,1705,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
steady,4,3,/workspace/prism-merge/exp/workloads/final-compare/steady_r4_s3.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/steady_r4_s3.pkl,,,False,provenance-only,1677,1677,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
steady,8,1,/workspace/prism-merge/exp/workloads/final-compare/steady_r8_s1.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/steady_r8_s1.pkl,,,False,provenance-only,3387,3387,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
steady,8,2,/workspace/prism-merge/exp/workloads/final-compare/steady_r8_s2.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/steady_r8_s2.pkl,,,False,provenance-only,3365,3365,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
steady,8,3,/workspace/prism-merge/exp/workloads/final-compare/steady_r8_s3.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/steady_r8_s3.pkl,,,False,provenance-only,3372,3372,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
steady,20,1,/workspace/prism-merge/exp/workloads/final-compare/steady_r20_s1.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/steady_r20_s1.pkl,,,False,provenance-only,8423,8423,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
steady,20,2,/workspace/prism-merge/exp/workloads/final-compare/steady_r20_s2.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/steady_r20_s2.pkl,,,False,provenance-only,8244,8244,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
steady,20,3,/workspace/prism-merge/exp/workloads/final-compare/steady_r20_s3.pkl,/root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/steady_r20_s3.pkl,,,False,provenance-only,8422,8422,True,,,"prototype request records lack arrival time, prompt length and per-request SLO, so the served sequence cannot be recovered; file hash unrecoverable because the trace it was handed is gone"
